Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
L7RTI5	unreviewed	L7RTI5_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE	cell division [GO:0051301]; cell-substrate adhesion [GO:0031589]; cellular response to ethanol [GO:0071361]; cellular response to hypoxia [GO:0071456]; cellular response to prostaglandin E stimulus [GO:0071380]; establishment of localization in cell [GO:0051649]; insulin secretion [GO:0030073]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; locomotory exploration behavior [GO:0035641]; macrophage activation involved in immune response [GO:0002281]; MAPK cascade [GO:0000165]; mucus secretion [GO:0070254]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of insulin secretion [GO:0032024]; positive regulation of lipid catabolic process [GO:0050996]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mucus secretion [GO:0070257]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; response to morphine [GO:0043278]; synaptic transmission, GABAergic [GO:0051932]; TRAM-dependent toll-like receptor 4 signaling pathway [GO:0035669]
M0R2J8	reviewed	DCDC1_HUMAN	Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)	DCDC1 DCDC5 KIAA1493	cell division [GO:0051301]; intracellular signal transduction [GO:0035556]; regulation of mitotic cytokinesis [GO:1902412]
O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	cell differentiation [GO:0030154]; cell division [GO:0051301]; microtubule cytoskeleton organization [GO:0000226]; microtubule depolymerization [GO:0007019]; microtubule-based movement [GO:0007018]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; nervous system development [GO:0007399]; regulation of cell migration [GO:0030334]
O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	cell cycle phase transition [GO:0044770]; cell division [GO:0051301]; double-strand break repair via break-induced replication [GO:0000727]; G1/S transition of mitotic cell cycle [GO:0000082]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; signal transduction [GO:0007165]
O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	WASL	actin filament polymerization [GO:0030041]; actin polymerization or depolymerization [GO:0008154]; cell division [GO:0051301]; dendritic spine morphogenesis [GO:0060997]; negative regulation of lymphocyte migration [GO:2000402]; negative regulation of membrane tubulation [GO:1903526]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; protein-containing complex localization [GO:0031503]; regulation of postsynapse organization [GO:0099175]; regulation of protein localization [GO:0032880]; response to bacterium [GO:0009617]; spindle localization [GO:0051653]; vesicle budding from membrane [GO:0006900]; vesicle organization [GO:0016050]; vesicle transport along actin filament [GO:0030050]
O00471	reviewed	EXOC5_HUMAN	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	EXOC5 SEC10 SEC10L1	epithelial cell apoptotic process [GO:1904019]; establishment of planar polarity [GO:0001736]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; membrane fission [GO:0090148]; mitotic cytokinesis [GO:0000281]; non-motile cilium assembly [GO:1905515]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; vesicle docking involved in exocytosis [GO:0006904]; vesicle tethering involved in exocytosis [GO:0090522]
O00755	reviewed	WNT7A_HUMAN	Protein Wnt-7a	WNT7A	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; asymmetric protein localization involved in cell fate determination [GO:0045167]; axonogenesis [GO:0007409]; canonical Wnt signaling pathway [GO:0060070]; cartilage condensation [GO:0001502]; cell fate commitment [GO:0045165]; cell proliferation in forebrain [GO:0021846]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system vasculogenesis [GO:0022009]; cerebellar granule cell differentiation [GO:0021707]; chondrocyte differentiation [GO:0002062]; dendritic spine morphogenesis [GO:0060997]; dorsal/ventral pattern formation [GO:0009953]; embryonic axis specification [GO:0000578]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; establishment of blood-brain barrier [GO:0060856]; establishment of cell polarity [GO:0030010]; excitatory synapse assembly [GO:1904861]; lens fiber cell development [GO:0070307]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neurogenesis [GO:0050768]; neuron differentiation [GO:0030182]; neurotransmitter secretion [GO:0007269]; oviduct development [GO:0060066]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of excitatory synapse assembly [GO:1904891]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein localization to presynapse [GO:1905386]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynapse assembly [GO:0099068]; presynapse assembly [GO:0099054]; regulation of axon diameter [GO:0031133]; regulation of postsynapse organization [GO:0099175]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; secondary palate development [GO:0062009]; sex differentiation [GO:0007548]; skeletal muscle satellite cell activation [GO:0014719]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; stem cell development [GO:0048864]; synaptic vesicle recycling [GO:0036465]; uterus morphogenesis [GO:0061038]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing, spreading of epidermal cells [GO:0035313]
O00762	reviewed	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; exit from mitosis [GO:0010458]; free ubiquitin chain polymerization [GO:0010994]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; ubiquitin-dependent protein catabolic process [GO:0006511]
O14578	reviewed	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	generation of neurons [GO:0048699]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; negative regulation of hippo signaling [GO:0035331]; neuron apoptotic process [GO:0051402]; positive regulation of cytokinesis [GO:0032467]
O14777	reviewed	NDC80_HUMAN	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; centrosome duplication [GO:0051298]; chromosome segregation [GO:0007059]; establishment of mitotic spindle orientation [GO:0000132]; G2/MI transition of meiotic cell cycle [GO:0008315]; kinetochore organization [GO:0051383]; metaphase chromosome alignment [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mitotic spindle organization [GO:0007052]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; regulation of protein stability [GO:0031647]; skeletal muscle satellite cell proliferation [GO:0014841]; spindle assembly involved in female meiosis I [GO:0007057]
O14965	reviewed	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	anterior/posterior axis specification [GO:0009948]; apoptotic process [GO:0006915]; cell division [GO:0051301]; centrosome localization [GO:0051642]; cilium disassembly [GO:0061523]; G2/M transition of mitotic cell cycle [GO:0000086]; liver regeneration [GO:0097421]; mitotic cell cycle [GO:0000278]; mitotic centrosome separation [GO:0007100]; mitotic spindle organization [GO:0007052]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of protein binding [GO:0032091]; neuron projection extension [GO:1990138]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autophosphorylation [GO:0046777]; protein localization to centrosome [GO:0071539]; protein phosphorylation [GO:0006468]; regulation of centrosome cycle [GO:0046605]; regulation of cytokinesis [GO:0032465]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to wounding [GO:0009611]; spindle assembly involved in female meiosis I [GO:0007057]; spindle organization [GO:0007051]
O15182	reviewed	CETN3_HUMAN	Centrin-3	CETN3 CEN3	cell division [GO:0051301]; centrosome cycle [GO:0007098]; microtubule cytoskeleton organization [GO:0000226]; mRNA transport [GO:0051028]; protein transport [GO:0015031]
O15392	reviewed	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	apoptotic process [GO:0006915]; cell division [GO:0051301]; establishment of chromosome localization [GO:0051303]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; mitotic spindle assembly [GO:0090307]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mitotic spindle midzone assembly [GO:0051256]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; positive regulation of mitotic cytokinesis [GO:1903490]; positive regulation of mitotic sister chromatid separation [GO:1901970]; protein phosphorylation [GO:0006468]; protein-containing complex localization [GO:0031503]; sensory perception of sound [GO:0007605]
O43236	reviewed	SEPT4_HUMAN	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	apoptotic process [GO:0006915]; cytoskeleton-dependent cytokinesis [GO:0061640]; flagellated sperm motility [GO:0030317]; hematopoietic stem cell homeostasis [GO:0061484]; neuron migration [GO:0001764]; positive regulation of apoptotic process [GO:0043065]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of protein ubiquitination [GO:0031398]; protein localization [GO:0008104]; regulation of apoptotic process [GO:0042981]; regulation of exocytosis [GO:0017157]; spermatid differentiation [GO:0048515]
O43264	reviewed	ZW10_HUMAN	Centromere/kinetochore protein zw10 homolog	ZW10	cell division [GO:0051301]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; meiotic cell cycle [GO:0051321]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to kinetochore [GO:0034501]; protein transport [GO:0015031]; protein-containing complex assembly [GO:0065003]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of exit from mitosis [GO:0007096]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]
O43482	reviewed	MS18B_HUMAN	Protein Mis18-beta (Cancer/testis antigen 86) (CT86) (Opa-interacting protein 5) (OIP-5)	OIP5 MIS18B	cell communication [GO:0007154]; cell division [GO:0051301]; CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]
O43491	reviewed	E41L2_HUMAN	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	EPB41L2	actomyosin structure organization [GO:0031032]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]; positive regulation of protein localization to cell cortex [GO:1904778]
O43566	reviewed	RGS14_HUMAN	Regulator of G-protein signaling 14 (RGS14)	RGS14	cell division [GO:0051301]; chromosome segregation [GO:0007059]; G protein-coupled receptor signaling pathway [GO:0007186]; learning [GO:0007612]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; mitotic cell cycle [GO:0000278]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of synaptic plasticity [GO:0031914]; nucleocytoplasmic transport [GO:0006913]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of neurogenesis [GO:0050769]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; response to oxidative stress [GO:0006979]; spindle organization [GO:0007051]; visual learning [GO:0008542]; zygote asymmetric cell division [GO:0010070]
O43633	reviewed	CHM2A_HUMAN	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A BC2 CHMP2	autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; endosome transport via multivesicular body sorting pathway [GO:0032509]; ESCRT III complex disassembly [GO:1904903]; establishment of protein localization [GO:0045184]; exit from mitosis [GO:0010458]; late endosome to lysosome transport [GO:1902774]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; membrane fission [GO:0090148]; membrane invagination [GO:0010324]; midbody abscission [GO:0061952]; mitotic metaphase chromosome alignment [GO:0007080]; multivesicular body assembly [GO:0036258]; multivesicular body sorting pathway [GO:0071985]; multivesicular body-lysosome fusion [GO:0061763]; negative regulation of centriole elongation [GO:1903723]; nuclear membrane reassembly [GO:0031468]; nucleus organization [GO:0006997]; plasma membrane repair [GO:0001778]; positive regulation of exosomal secretion [GO:1903543]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; vesicle fusion with vacuole [GO:0051469]; viral budding from plasma membrane [GO:0046761]; viral budding via host ESCRT complex [GO:0039702]; viral release from host cell [GO:0019076]
O43663	reviewed	PRC1_HUMAN	Protein regulator of cytokinesis 1	PRC1	cell division [GO:0051301]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle elongation [GO:0000022]; mitotic spindle midzone assembly [GO:0051256]; positive regulation of cell population proliferation [GO:0008284]; regulation of cytokinesis [GO:0032465]
O43670	reviewed	ZN207_HUMAN	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; microtubule bundle formation [GO:0001578]; microtubule polymerization [GO:0046785]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein stabilization [GO:0050821]; regulation of chromosome segregation [GO:0051983]
O43683	reviewed	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	apoptotic process [GO:0006915]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle assembly checkpoint signaling [GO:0007094]; positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric [GO:2000720]; regulation of chromosome segregation [GO:0051983]; regulation of sister chromatid cohesion [GO:0007063]
O43684	reviewed	BUB3_HUMAN	Mitotic checkpoint protein BUB3	BUB3	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to kinetochore [GO:0034501]
O43768	reviewed	ENSA_HUMAN	Alpha-endosulfine (ARPP-19e)	ENSA	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; negative regulation of protein dephosphorylation [GO:0035308]; regulation of insulin secretion [GO:0050796]; response to nutrient [GO:0007584]
